11-17 22:58:59 com_github_MitjaNemec_ReplicateLayout.action_replicate_layout 392:Plugin executed on: 'win32'
11-17 22:58:59 com_github_MitjaNemec_ReplicateLayout.action_replicate_layout 393:Plugin executed with python version: '3.9.16 (main, Aug  8 2023, 05:38:28) [MSC v.1936 64 bit (AMD64)]'
11-17 22:58:59 com_github_MitjaNemec_ReplicateLayout.action_replicate_layout 394:KiCad build version: 7.0.8
11-17 22:58:59 com_github_MitjaNemec_ReplicateLayout.action_replicate_layout 395:Plugin version: 2.1.3
11-17 22:58:59 com_github_MitjaNemec_ReplicateLayout.action_replicate_layout 396:Frame repr: <wx._core.Frame object at 0x0000022020D41EE0>
11-17 22:58:59 com_github_MitjaNemec_ReplicateLayout.action_replicate_layout 420:Preparing replicator with R71 as a reference
11-17 22:58:59 com_github_MitjaNemec_ReplicateLayout.replicate_layout 117:getting a list of all footprints on board
11-17 22:58:59 com_github_MitjaNemec_ReplicateLayout.action_replicate_layout 468:source anchor footprint is 'R71'
Located on: ['R_LTC', 'DCH1']
With filenames: ['Ltc.kicad_sch', 'Discharge.kicad_sch']
With sheet_id:['R_LTC', 'DCH1']
11-17 22:59:01 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1305:Track group: , src group:
11-17 22:59:01 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1305:Track group: , src group:
11-17 22:59:01 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1305:Track group: , src group:
11-17 22:59:01 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1305:Track group: , src group:
11-17 22:59:01 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1305:Track group: , src group:
11-17 22:59:01 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1305:Track group: , src group:
11-17 22:59:01 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1305:Track group: , src group:
11-17 22:59:01 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1305:Track group: , src group:
11-17 22:59:01 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1305:Track group: , src group:
11-17 22:59:01 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1305:Track group: , src group:
11-17 22:59:01 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1305:Track group: , src group:
11-17 22:59:01 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1305:Track group: , src group:
11-17 22:59:01 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1305:Track group: , src group:
11-17 22:59:01 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1305:Track group: , src group:
11-17 22:59:01 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1305:Track group: , src group:
11-17 22:59:01 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1305:Track group: , src group:
11-17 22:59:01 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1305:Track group: , src group:
11-17 22:59:01 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1305:Track group: , src group:
11-17 22:59:01 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1305:Track group: , src group:
11-17 22:59:01 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1305:Track group: , src group:
11-17 22:59:01 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1305:Track group: , src group:
11-17 22:59:01 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1305:Track group: , src group:
11-17 22:59:01 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1305:Track group: , src group:
11-17 22:59:01 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1305:Track group: , src group:
11-17 22:59:01 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1305:Track group: , src group:
11-17 22:59:01 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1305:Track group: , src group:
11-17 22:59:01 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1305:Track group: , src group:
11-17 22:59:01 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1305:Track group: , src group:
11-17 22:59:01 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1305:Track group: , src group:
11-17 22:59:01 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1305:Track group: , src group:
11-17 22:59:01 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1305:Track group: , src group:
11-17 22:59:01 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1305:Track group: , src group:
11-17 22:59:01 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1305:Track group: , src group:
11-17 22:59:01 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1305:Track group: , src group:
11-17 22:59:01 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1305:Track group: , src group:
11-17 22:59:01 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1305:Track group: , src group:
11-17 22:59:01 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1305:Track group: , src group:
11-17 22:59:01 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1305:Track group: , src group:
11-17 22:59:01 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1305:Track group: , src group:
11-17 22:59:01 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1305:Track group: , src group:
11-17 22:59:01 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1305:Track group: , src group:
11-17 22:59:01 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1305:Track group: , src group:
11-17 22:59:01 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1305:Track group: , src group:
11-17 22:59:01 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1305:Track group: , src group:
11-17 22:59:01 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1305:Track group: , src group:
11-17 22:59:01 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1305:Track group: , src group:
11-17 22:59:01 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1305:Track group: , src group:
11-17 22:59:01 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1305:Track group: , src group:
11-17 22:59:01 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1305:Track group: , src group:
11-17 22:59:01 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1305:Track group: , src group:
11-17 22:59:01 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1305:Track group: , src group:
11-17 22:59:01 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1305:Track group: , src group:
11-17 22:59:01 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1305:Track group: , src group:
11-17 22:59:01 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1305:Track group: , src group:
11-17 22:59:01 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1305:Track group: , src group:
11-17 22:59:01 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1305:Track group: , src group:
11-17 22:59:01 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1305:Track group: , src group:
11-17 22:59:01 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1305:Track group: , src group:
11-17 22:59:01 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1305:Track group: , src group:
11-17 22:59:01 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1305:Track group: , src group:
11-17 22:59:01 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1305:Track group: , src group:
11-17 22:59:01 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1305:Track group: , src group:
11-17 22:59:01 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1305:Track group: , src group:
11-17 22:59:01 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1305:Track group: , src group:
11-17 22:59:01 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1305:Track group: , src group:
11-17 22:59:01 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1305:Track group: , src group:
11-17 22:59:01 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1305:Track group: , src group:
11-17 22:59:01 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1305:Track group: , src group:
11-17 22:59:01 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1305:Track group: , src group:
11-17 22:59:01 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1305:Track group: , src group:
11-17 22:59:01 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1305:Track group: , src group:
11-17 22:59:01 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1305:Track group: , src group:
11-17 22:59:01 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1305:Track group: , src group:
11-17 22:59:01 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1305:Track group: , src group:
11-17 22:59:01 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1305:Track group: , src group:
11-17 22:59:01 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1305:Track group: , src group:
11-17 22:59:01 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1305:Track group: , src group:
11-17 22:59:01 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1305:Track group: , src group:
11-17 22:59:01 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1305:Track group: , src group:
11-17 22:59:01 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1305:Track group: , src group:
11-17 22:59:01 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1305:Track group: , src group:
11-17 22:59:01 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1305:Track group: , src group:
11-17 22:59:01 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1305:Track group: , src group:
11-17 22:59:01 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1305:Track group: , src group:
11-17 22:59:01 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1305:Track group: , src group:
11-17 22:59:01 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1305:Track group: , src group:
11-17 22:59:01 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1305:Track group: , src group:
11-17 22:59:01 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1305:Track group: , src group:
11-17 22:59:01 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1305:Track group: , src group:
11-17 22:59:01 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1305:Track group: , src group:
11-17 22:59:01 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1305:Track group: , src group:
11-17 22:59:01 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1305:Track group: , src group:
11-17 22:59:01 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1305:Track group: , src group:
11-17 22:59:01 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1305:Track group: , src group:
11-17 22:59:01 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1305:Track group: , src group:
11-17 22:59:01 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1305:Track group: , src group:
11-17 22:59:01 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1305:Track group: , src group:
11-17 22:59:01 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1305:Track group: , src group:
11-17 22:59:01 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1305:Track group: , src group:
11-17 22:59:01 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1305:Track group: , src group:
11-17 22:59:01 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1305:Track group: , src group:
11-17 22:59:01 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1305:Track group: , src group:
11-17 22:59:01 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1305:Track group: , src group:
11-17 22:59:01 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1305:Track group: , src group:
11-17 22:59:01 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1305:Track group: , src group:
11-17 22:59:01 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1305:Track group: , src group:
11-17 22:59:01 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1305:Track group: , src group:
11-17 22:59:01 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1305:Track group: , src group:
11-17 22:59:01 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1305:Track group: , src group:
11-17 22:59:01 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1305:Track group: , src group:
11-17 22:59:01 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1305:Track group: , src group:
11-17 22:59:01 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1305:Track group: , src group:
11-17 22:59:01 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1305:Track group: , src group:
11-17 22:59:01 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1305:Track group: , src group:
11-17 22:59:01 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1305:Track group: , src group:
11-17 22:59:01 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1305:Track group: , src group:
11-17 22:59:01 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1305:Track group: , src group:
11-17 22:59:01 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1305:Track group: , src group:
11-17 22:59:01 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1305:Track group: , src group:
11-17 22:59:01 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1305:Track group: , src group:
11-17 22:59:01 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1305:Track group: , src group:
11-17 22:59:01 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1305:Track group: , src group:
11-17 22:59:01 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1305:Track group: , src group:
11-17 22:59:01 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1305:Track group: , src group:
11-17 22:59:01 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1305:Track group: , src group:
11-17 22:59:01 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1305:Track group: , src group:
11-17 22:59:01 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1305:Track group: , src group:
11-17 22:59:01 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1305:Track group: , src group:
11-17 22:59:01 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1305:Track group: , src group:
11-17 22:59:01 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1305:Track group: , src group:
11-17 22:59:01 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1305:Track group: , src group:
11-17 22:59:01 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1305:Track group: , src group:
11-17 22:59:01 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1305:Track group: , src group:
11-17 22:59:01 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1305:Track group: , src group:
11-17 22:59:01 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1305:Track group: , src group:
11-17 22:59:01 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1305:Track group: , src group:
11-17 22:59:01 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1305:Track group: , src group:
11-17 22:59:01 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1305:Track group: , src group:
11-17 22:59:01 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1305:Track group: , src group:
11-17 22:59:01 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1305:Track group: , src group:
11-17 22:59:02 com_github_MitjaNemec_ReplicateLayout.replicate_layout 424:constructing a list of sheets suitable for replication on level:'DCH1', file:'Discharge.kicad_sch'
11-17 22:59:02 com_github_MitjaNemec_ReplicateLayout.replicate_layout 461:suitable sheets are:[['L_LTC', 'DCH1'], ['L_LTC', 'DCH10'], ['L_LTC', 'DCH2'], ['L_LTC', 'DCH3'], ['L_LTC', 'DCH4'], ['L_LTC', 'DCH5'], ['L_LTC', 'DCH6'], ['L_LTC', 'DCH7'], ['L_LTC', 'DCH8'], ['L_LTC', 'DCH9'], ['R_LTC', 'DCH10'], ['R_LTC', 'DCH2'], ['R_LTC', 'DCH3'], ['R_LTC', 'DCH4'], ['R_LTC', 'DCH5'], ['R_LTC', 'DCH6'], ['R_LTC', 'DCH7'], ['R_LTC', 'DCH8'], ['R_LTC', 'DCH9']]
11-17 22:59:02 com_github_MitjaNemec_ReplicateLayout.action_replicate_layout 240:Replicating layout
11-17 22:59:02 com_github_MitjaNemec_ReplicateLayout.replicate_layout 240:Starting replication of sheets: [['L_LTC', 'DCH1'], ['L_LTC', 'DCH10'], ['L_LTC', 'DCH2'], ['L_LTC', 'DCH3'], ['L_LTC', 'DCH4'], ['L_LTC', 'DCH5'], ['L_LTC', 'DCH6'], ['L_LTC', 'DCH7'], ['L_LTC', 'DCH8'], ['L_LTC', 'DCH9'], ['R_LTC', 'DCH10'], ['R_LTC', 'DCH2'], ['R_LTC', 'DCH3'], ['R_LTC', 'DCH4'], ['R_LTC', 'DCH5'], ['R_LTC', 'DCH6'], ['R_LTC', 'DCH7'], ['R_LTC', 'DCH8'], ['R_LTC', 'DCH9']]
on level: ['R_LTC', 'DCH1']
with tracks=True, zone=True, text=True, text=True, intersecting=False, remove=False, locked footprints=False, group_only=True
11-17 22:59:02 root 332:updating GUI message: 'Preparing for replication'
11-17 22:59:02 root 337:updating GUI with: 0
11-17 22:59:02 com_github_MitjaNemec_ReplicateLayout.replicate_layout 310:Getting the list of source footprints
11-17 22:59:02 com_github_MitjaNemec_ReplicateLayout.replicate_layout 320:Getting the list of all the remaining footprints
11-17 22:59:02 com_github_MitjaNemec_ReplicateLayout.replicate_layout 327:Getting source tracks
11-17 22:59:02 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1299:Filtering list of tracks
11-17 22:59:02 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1305:Track group: , src group:
11-17 22:59:02 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1305:Track group: , src group:
11-17 22:59:02 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1305:Track group: , src group:
11-17 22:59:02 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1305:Track group: , src group:
11-17 22:59:02 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1305:Track group: , src group:
11-17 22:59:02 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1305:Track group: , src group:
11-17 22:59:02 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1305:Track group: , src group:
11-17 22:59:02 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1305:Track group: , src group:
11-17 22:59:02 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1305:Track group: , src group:
11-17 22:59:02 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1305:Track group: , src group:
11-17 22:59:02 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1305:Track group: , src group:
11-17 22:59:02 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1305:Track group: , src group:
11-17 22:59:02 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1305:Track group: , src group:
11-17 22:59:02 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1305:Track group: , src group:
11-17 22:59:02 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1305:Track group: , src group:
11-17 22:59:02 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1305:Track group: , src group:
11-17 22:59:02 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1305:Track group: , src group:
11-17 22:59:02 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1305:Track group: , src group:
11-17 22:59:02 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1305:Track group: , src group:
11-17 22:59:02 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1305:Track group: , src group:
11-17 22:59:02 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1305:Track group: , src group:
11-17 22:59:02 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1305:Track group: , src group:
11-17 22:59:02 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1305:Track group: , src group:
11-17 22:59:02 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1305:Track group: , src group:
11-17 22:59:02 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1305:Track group: , src group:
11-17 22:59:02 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1305:Track group: , src group:
11-17 22:59:02 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1305:Track group: , src group:
11-17 22:59:02 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1305:Track group: , src group:
11-17 22:59:02 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1305:Track group: , src group:
11-17 22:59:02 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1305:Track group: , src group:
11-17 22:59:02 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1305:Track group: , src group:
11-17 22:59:02 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1305:Track group: , src group:
11-17 22:59:02 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1305:Track group: , src group:
11-17 22:59:02 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1305:Track group: , src group:
11-17 22:59:02 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1305:Track group: , src group:
11-17 22:59:02 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1305:Track group: , src group:
11-17 22:59:02 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1305:Track group: , src group:
11-17 22:59:02 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1305:Track group: , src group:
11-17 22:59:02 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1305:Track group: , src group:
11-17 22:59:02 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1305:Track group: , src group:
11-17 22:59:02 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1305:Track group: , src group:
11-17 22:59:02 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1305:Track group: , src group:
11-17 22:59:02 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1305:Track group: , src group:
11-17 22:59:02 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1305:Track group: , src group:
11-17 22:59:02 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1305:Track group: , src group:
11-17 22:59:02 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1305:Track group: , src group:
11-17 22:59:02 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1305:Track group: , src group:
11-17 22:59:02 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1305:Track group: , src group:
11-17 22:59:02 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1305:Track group: , src group:
11-17 22:59:02 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1305:Track group: , src group:
11-17 22:59:02 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1305:Track group: , src group:
11-17 22:59:02 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1305:Track group: , src group:
11-17 22:59:02 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1305:Track group: , src group:
11-17 22:59:02 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1305:Track group: , src group:
11-17 22:59:02 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1305:Track group: , src group:
11-17 22:59:02 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1305:Track group: , src group:
11-17 22:59:02 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1305:Track group: , src group:
11-17 22:59:02 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1305:Track group: , src group:
11-17 22:59:02 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1305:Track group: , src group:
11-17 22:59:02 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1305:Track group: , src group:
11-17 22:59:02 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1305:Track group: , src group:
11-17 22:59:02 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1305:Track group: , src group:
11-17 22:59:02 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1305:Track group: , src group:
11-17 22:59:02 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1305:Track group: , src group:
11-17 22:59:02 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1305:Track group: , src group:
11-17 22:59:02 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1305:Track group: , src group:
11-17 22:59:02 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1305:Track group: , src group:
11-17 22:59:02 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1305:Track group: , src group:
11-17 22:59:02 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1305:Track group: , src group:
11-17 22:59:02 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1305:Track group: , src group:
11-17 22:59:02 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1305:Track group: , src group:
11-17 22:59:02 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1305:Track group: , src group:
11-17 22:59:02 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1305:Track group: , src group:
11-17 22:59:02 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1305:Track group: , src group:
11-17 22:59:02 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1305:Track group: , src group:
11-17 22:59:02 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1305:Track group: , src group:
11-17 22:59:02 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1305:Track group: , src group:
11-17 22:59:02 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1305:Track group: , src group:
11-17 22:59:02 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1305:Track group: , src group:
11-17 22:59:02 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1305:Track group: , src group:
11-17 22:59:02 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1305:Track group: , src group:
11-17 22:59:02 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1305:Track group: , src group:
11-17 22:59:02 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1305:Track group: , src group:
11-17 22:59:02 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1305:Track group: , src group:
11-17 22:59:02 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1305:Track group: , src group:
11-17 22:59:02 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1305:Track group: , src group:
11-17 22:59:02 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1305:Track group: , src group:
11-17 22:59:02 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1305:Track group: , src group:
11-17 22:59:02 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1305:Track group: , src group:
11-17 22:59:02 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1305:Track group: , src group:
11-17 22:59:02 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1305:Track group: , src group:
11-17 22:59:02 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1305:Track group: , src group:
11-17 22:59:02 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1305:Track group: , src group:
11-17 22:59:02 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1305:Track group: , src group:
11-17 22:59:02 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1305:Track group: , src group:
11-17 22:59:02 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1305:Track group: , src group:
11-17 22:59:02 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1305:Track group: , src group:
11-17 22:59:02 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1305:Track group: , src group:
11-17 22:59:02 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1305:Track group: , src group:
11-17 22:59:02 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1305:Track group: , src group:
11-17 22:59:02 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1305:Track group: , src group:
11-17 22:59:02 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1305:Track group: , src group:
11-17 22:59:02 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1305:Track group: , src group:
11-17 22:59:02 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1305:Track group: , src group:
11-17 22:59:02 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1305:Track group: , src group:
